;Column2;Column1;idx;token;Label_Gold;Label_BG;Sicher_BG;Label_JL;Sicher_JL;Label_FA;Sicher_FA;Label_RR;Sicher_RR;Label_TH;Zusatzinfo;sentence;context;label;year;filename;Quelle_Gold;Quelle_BG;annodatenerz;Quelle_FA;Quelle_RR;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31
0;1080;176;1052112;erzählern;d;d;90;n;;d;100;d;;n;;Nur der Nebel, der sich manchmal am Ende der schmalen Landzunge The Spit bildet, wo zwei Flüsse vor Christchurch auf den pazifischen Ozean treffen, ist noch dichter als der Dunst in den Köpfen jener 15-jährigen Jungen, die Carl Nixon zu den Erzählern seines RomansThe Rocking Horse Road       gemacht hat.;Nur der Nebel, der sich manchmal am Ende der schmalen Landzunge The Spit bildet, wo zwei Flüsse vor Christchurch auf den pazifischen Ozean treffen, ist noch dichter als der Dunst in den Köpfen jener 15-jährigen Jungen, die Carl Nixon zu den Erzählern seines RomansThe Rocking Horse Road       gemacht hat. Pete ist einer von ihnen. Obwohl er nicht zu den Verdächtigen gehört, braucht es lange und viele Lügen und Ausflüchte, bis er eingesteht, was er am Morgen des 21.;;2012;3.0/2012/09/27/Carl-Nixon-The-Rocking-H.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
1;1046;177;1064672;erzähler;a;a;90;n;;a;80;a;;n;;Ihr achtstündiger Arbeitstag sieht so aus: Am Vormittag begrüßt die Gruppe die Parkgäste am Eingang, am Nachmittag halten sich die vier in der Nähe der Kleinkinderattraktionen auf, und am Abend gibt es eine kleine Show, bei der eine Geschichte von einem Erzähler gesprochen wird, die die Figuren dann nachspielen.;Die dummen Fragen kommen von Erwachsenen: »Wo guckst du denn raus?«, »Ist es heiß da drin?«, »Scheißjob, oder?«, »Wo geht es hier zum Klo?« Aus Sicherheitsgründen ist Wumbo normalerweise mit noch drei anderen »Comics« unterwegs: Rabe Rabix, Wildschwein Rochus und Krokodil Ali Ben Gator. In den Kostümen stecken Schüler, die Wochenende haben oder Ferien. Ihr achtstündiger Arbeitstag sieht so aus: Am Vormittag begrüßt die Gruppe die Parkgäste am Eingang, am Nachmittag halten sich die vier in der Nähe der Kleinkinderattraktionen auf, und am Abend gibt es eine kleine Show, bei der eine Geschichte von einem Erzähler gesprochen wird, die die Figuren dann nachspielen. Jede Dreiviertelstunde ist für 15 Minuten Pause. Sonst hält man die Hitze und die schlechte Luft in dem Kostüm nicht aus.;;2008;3.0/2008/05/08/Heidepark.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
2;1045;178;1066050;erzählerin;d;d;60;n;;d;100;d;;n;;Hier läuft der Erzählerin ein verwahrloster Hund zu, dessen Schönheit sie gleichwohl anzieht.;"Bis ins Detail erscheint diese Passage als Vorlage von Marion PoschmannsHundenovelle. ""Ich saß auf den Eingangsstufen einer verrammelten Baracke"", beginnt sie. Hier läuft der Erzählerin ein verwahrloster Hund zu, dessen Schönheit sie gleichwohl anzieht. Es ist Juli, es ist heiß. Das Tier folgt ihr nach Hause; es diktiert ihren Tagesablauf.";;2008;3.0/2008/10/16/L-Poschmann.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
3;1283;6894;1066842;erzähler.;c;n;;n;;n;;n;;n;augmented;Ich bin nur der Erzähler.«;Du kannst es schaffen. Das sagt die Geschichte. Ich bin nur der Erzähler.«;;2008;3.0/2008/03/16/P-Carlitos-Paez.xml.xml;;;;;;;;;;;;;;
4;1042;179;1067465;erzähler;b;b;100;n;;b;100;b;;n;;Die Neuedition dieses großen Zeit- & Lebensbuches, das 1983/90 erstmals erschien, ist der Auftakt zu einer Werkausgabe, die uns auch den Erzähler und, vor allem, den Lyriker Hans Sahl wiederbringen wird.;1933 flieht er durch halb Europa, bis er in Lissabon das rettende Schiff erreicht. Über die Gefährten des Exils lesen wir dann, Grosz, Broch, Remarque, und über Begegnungen mit amerikanischen Autoren, mit Dos Passos, Wilder und Roethke. Die Neuedition dieses großen Zeit- & Lebensbuches, das 1983/90 erstmals erschien, ist der Auftakt zu einer Werkausgabe, die uns auch den Erzähler und, vor allem, den Lyriker Hans Sahl wiederbringen wird. Seine berühmtenStrophen       beenden den Band mit der schönsten aller Schlusszeilen: »…als wär ich nie gewesen oder kaum«. Benedikt Erenz;;2008;3.0/2008/03/13/L-Sahl_12.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
5;1262;6909;1067473;erzähler;c;n;;n;;n;;n;;n;augmented;Der Erzähler weiß alles über seine Figuren.;Nagi ist das Alter Ego des Autors, die einzige Person, die als (Tagebuch schreibender) Icherzähler auftritt. Ansonsten wird mit einer fast brutal anmutenden Auktorialität erzählt. Der Erzähler weiß alles über seine Figuren. Das hat etwas Ungeheuerliches und zugleich Befreiendes. Niemand kann sich verstecken oder darf auf Schonung hoffen.;;2008;3.0/2008/03/13/L-al-Aswani-1155.xml.xml;;;;;;;;;;;;;;
6;1041;180;1068691;erzähler;b;b;50;n;;c;90;b;;n;;Aus einem einfachen Grund: Der Erzähler postiert die Fusionsmaschine im Kopf der männlichen Hauptfigur Gilles.;An der Fallhöhe zwischen der realen Tragödie, die sich in Vilnius ereignete, und dem literarisch ausgedachten Generve an der Côte d’Azur. Das ist nicht der Fall. Aus einem einfachen Grund: Der Erzähler postiert die Fusionsmaschine im Kopf der männlichen Hauptfigur Gilles. Als Drehbuchautor ist er der wandelnde Tagtraum. Dass sich in seinem Kopf die Grenzen zwischen verschiedenen Realitäten und Fiktionssphären aufheben, er probeweise mit Cathy spricht, wie Bertrand Cantat vielleicht mit Marie Trintignant gesprochen hat, ist verwirrend, aber plausibel.;;2008;3.0/2008/07/04/L-Ostermaier-NL.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
7;1288;6926;1068977;erzähler;c;n;;n;;n;;n;;n;augmented;Und der so kluge wie coole Erzähler T. C. Boyle löst mit seinem Buch nicht das Geheimnis, sondern er zeigt es.;Aber die Sexualität hat sich diesem Wissen nicht gefügt, im Gegenteil: Unter den Mikroskopen und taxonomischen Attacken von Kinseys In seiner Autobiografie fragt sich John Updike, ob die nachfolgenden Generationen dereinst noch verstehen könnten, was er und seine Zeit mit der Sexualität verbunden hätten. Das Problem ist nur, dass Updike – wie wir alle – es nicht verstanden hat. Und der so kluge wie coole Erzähler T. C. Boyle löst mit seinem Buch nicht das Geheimnis, sondern er zeigt es.;;2008;3.0/2008/07/16/L-Boyle-Tab.xml.xml;;;;;;;;;;;;;;
8;955;181;1075105;erzählers;b;b;100;n;;b;100;b;;n;;Jim ist schon ein toller Hecht, und während der Rüde den Vollmond anbellt, träumt die Katze auf dem Dach.Und der Leser freut sich über die aparten Obszönitäten des Zeichners und Erzählers Ernst Kahl.Wer nie den Kahl im Bette las, der weiß nicht, wie die Hühner kieksen.Und wer das Leben allweil ernst nimmt, der darf den Kahl sich sparen.;Jim ist schon ein toller Hecht, und während der Rüde den Vollmond anbellt, träumt die Katze auf dem Dach.Und der Leser freut sich über die aparten Obszönitäten des Zeichners und Erzählers Ernst Kahl.Wer nie den Kahl im Bette las, der weiß nicht, wie die Hühner kieksen.Und wer das Leben allweil ernst nimmt, der darf den Kahl sich sparen. Ernst Kahl: Das letzte Bestiarium Perversum Verlag Rogner & Bernhard, Hamburg 1999, 221 S., 20,- DM;;1999;3.0/1999/07/15/32989.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
9;1286;7005;1075633;erzähler;c;n;;n;;n;;n;;n;augmented;Gutersons Stärke ist die Beschwörung des Bleibenden  David Guterson ist, das hat er in seinem RomandebütSchnee, der auf Zedern fällt       gezeigt, ein vorsichtiger, manchmal spröder Erzähler.;"In diesem Buch verbinden sich beide Motive zu einem. Das macht die Bewegung der Reise, die den alten Mann zu den blühenden Tälern und sanft strömenden Wassern seiner Kindheit und zugleich zu seinem Tode hinträgt, beim Lesen unwiderstehlich, zumindest solange der Zauber anhält und noch nicht durch die Suche des Erzählers nach einer Auflösung der Geschichte gebrochen wird. Gutersons Stärke ist die Beschwörung des Bleibenden  David Guterson ist, das hat er in seinem RomandebütSchnee, der auf Zedern fällt       gezeigt, ein vorsichtiger, manchmal spröder Erzähler. Er gibt nicht vor, die Welt in ein paar Sätzen erklären zu können; auch wenn er einem der Menschen, die er beschreibt, tief ins Gemüt schaut, leuchtet er nie die ganze Seelenkammer aus. Seine Figuren leben von Aussparungen.";;1999;3.0/1999/01/28/199905.l-guterson_.xml.x.xml;;;;;;;;;;;;;;
