text	label
Endlich kann man — was keineswegs auf alle sonst gute derartige Bücher zutrifft — oft herzlich lachen und ebenso oft sich an einem noch tiefer liegenden Humor erfreuen , bei dem man nicht mehr zu lachen Pflegt . Alles das zusammen in demselben Buche ist viel wert , und da die Übersetzerin ihre Sache sehr gut gemacht hat , so können wir uns daran freuen , wie an einem deutschen . Volkstümliche und landschaftliche Erzählungen chon öfter haben wir darauf hingewiesen , wie fruchtbar an Motiven für den dichtenden Erzähler das besondre Leben der einzelnen deutschen Stämme und Gegenden ist . Der Leser achtet mit Interesse auf die abweichenden Züge eines andern Landschaftsbildes und die Menschen , die sich darin bewegen , und ein bestimmtes , wirkliches Stück Natur verlangt eine frische und kräftige Schilderung . Das ist wohlthuend gegenüber dem konventionellen Gesellschaftsroman , der in jede Stadt verlegt werden kann , ohne daß sich die darin auftretenden Menschen wesentlich anders geberdeten : sie sind immer ziemlich gleich , der Schliff des höhern Lebens hat die landschaftlichen Besonderheiten verwischt .	b
Aber wenn mau vor einem Kunstwerk steht , so soll man nur rein schauen . Und wenn Sie mich nun fragen : » Was ist deun reine Anschauung ? « so sage ich Ihnen : » Reine Anschauung ist reine Anschauung , und damit Punktum . « Er hat , fährt die Erzählerin fort , nachher denn doch diesen Begriff weiter definirt , aber das » Punktum « hatte ja auch seine volle Richtigkeit , denn wer die Gabe der » reinen Anschauung « nicht besitzt , dem wird keine Definition etwas helfen . ' So feinsinnig und treffend diese Anmerkung ist , so vorzüglich ist die ganze Charakteristik , die Ilse Frapan von Bischer im Hörsaal liefert ; wir können hier Lrinnorungen an F. Th . vischer aber doch nur darauf verweisen . Ihre Erinnerungen überschütten uns mit einer Menge höchst interessanter Einzelheiten ; so erfahren wir z. B. , wie und wann Vischer zum erstenmale unter der Maske des biedern Schartenmaher seinen Sang ertönen ließ , wie sein Verhältnis zu Strauß schließlich war , wie tief Vischer Mörike liebte , mit welcher Begeisterung er von Italien , zumal von Venedig sprach , wie er sich über die oberflächliche Kritik der Zeitungen beim Erscheinen seines „ Faust .	b
Die Färbung verstärken prächtige Lieder und Sprüchlein , teils ans dein Schatze der Volkspoeste , teils Kunstprodukte des Doktors . Ein solches , für den Ort seiner Bestummmg außerordentlich passendes , läßt dieser dem zweijährigen Patenkinde in die Grenzboten 1903 IV Zwei Seelen ersten Höschen einsticken , die er seiner Gewohnheit nach mit einer feierlichen Rede überreicht . Von einem der Volkslieder : Bur , holl seur ! lautet die erste Strophe : Ans der zweiten Seite schreibt der dem Publikum als Erzähler noch ganz unbekannte Autor — er hat bisher nur Gedichte und Dramatisches veröffentlicht — von seinem Buche : „ Es ist ein volkstümliches Buch , denn was es enthält , es wurzelt im ureigner Wesen des deutschen Volks . Es ist ein ernstes Buch , es ist ein heiteres Buch . Ja beim Krauskopf kann man lachen , herzlich lachen , wenn man das Lachen noch nicht gänzlich verlernt hat .	b
Merkwürdig und bezeichnend ist vor allem die Art , wie sich Scott der stoffartigen poetischen Elemente der Sagen , Träume , Ahnungen ze . bedient ; er weiß sie mit kräftiger Hand zu packen und aufs geschickteste in den Gang des Ganzen zu verweben , aber er besprengt sie immer vorher wohlbedächtig mit dem kalten Wasser des Verstandes und erschwert sich dadurch die Wirkung , die er zuletzt doch hervorzubringen weiß . Jedenfalls ist er in der bloßen Unterhaltungsliteratur eine ganz einzige Erscheinung , und zwar vornehmlich wegen der großen Kunst , der Feinheit in der Motivirung , die er aufwendet , um die gewöhnlichsten Zwecke zu erreichen . ' Wenn Hebbel , überall zugleich die höchsten und bestimmte subjektive Maßstäbe anlegend , hier dem Dichter der „ Jungfrau vom See ' des „ Waverley' und der „ Chronik von Ccmongate' den Dichternamen abspricht , so ist dies freilich eine der Einseitigkeiten , die vom selbständigen schöpferischen Talent untrennbar scheinen , aber er räumt doch anderseits die eminenten Vorzüge des großen Erzählers unumwunden ein . Was er zu einer Belletristik sagen würde , die nicht einen dieser Vorzüge besitzt , und indem sie für ihre gewöhnlichsten Zwecke weder Kunst noch Feinheit der Motivirung , noch irgendwelche Motivirung überhaupt aufwendet , sich doch höchste Bedeutuug zuspricht , das läßt sich leicht erraten , und die folgenden Bünde der „ Tagebücher' können garnicht verfehlen , einige höchst schätzbare Beiträge zur Kritik dessen zu bringen , was heutzutage für Poesie ausgegeben und auch für Poesie genossen wird . Wir würden kein Ende finden , wollten wir anfangen , auf alle zum Teil grundverschiednen Einzelheiten des reichen Inhaltes hinzuweisen .	b
2 ^osegger als Dramatiker aß sich ein erfolgreicher Erzähler mit dem Ruhme , ein guter Novellist zu sein , nicht begnügt , sonder » auf die Bühne kommen will , darf keineswegs immer bloß durch das Bedürfnis , reichere Einnahmen zu erzielen , erklärt werden , wie es boshafte Rezensenten gern thun . Die Bühne hat durch die ungleich mächtigere Wirkung , die sie , mit dein Buche verglichen , ausübt , noch auf jeden Dichter einen dämonischen Reiz geübt ; ein Bühnenwerk beschäftigt auch die Kritik » ud Rosegger als Dramatiker das Publikum weit nachhaltiger als eine Erzählung , Darum ist es sehr begreiflich , daß sich P. K. Roseggcr an dem Ruhme , einer der gemütvollsten deuischeu Erzähler zu sein , nicht genug sein läßt und die Bühne zu gewinne » strebt . Nur daß man diesem Bestreben ungläubiger zuschauen dürfte , als ähnlichen Versuchen andrer berühmten Erzähler , Nvseggers eigentümliches Talent liegt in der tief und sein empfundenen kleinen Geschichte , im Genrebild ; seine Versuche , einen größern Rahmen auszufüllen , sind nicht gelungen , er hat immer nur viele kleine Bildchen in den Nahmen hineingestellt . Seine Kunst als Erzähler , so warm und innig sie wirkt , entbehrt doch der höchsten Objektivität . Eine große epische Gestalt so zu schaffen , daß man über ihr den Dichter vergessen hätte , wie es Fritz Reuter , Nnzengrnbcr , ja selbst Auerbach gelungen ist , ist ihm bisher noch nicht gelungen ; sein Jakob der Letzte , so tragisch er auch ist , trägt Nvseggers persönliche Züge in des Waldbauern Verkleidung .	b
"Was sagt dieser Befund nun über einen Roman? Noch nicht alles. Kristof Magnusson mag kein herausragender Stilist sein, eines aber ist er: ein klasse Erzähler mit einem klasse Sujet, das er in für hiesige Literaturverhältnisse eher unüblicher Ausdauer recherchiert und in eine mitreißende Medizinergeschichte verwandelt hat. Wenn man als Leser auf Seite 120 bei dem Satz ""Nun musste Anita den Patienten ..."" anlangt, ist man von dieser Geschichte längst dermaßen gefesselt, dass man jedes Verb verzeiht und jede Eckigkeit überhört. Man will jetzt nur noch wissen, von wem und wie der Herzkatheter angelegt wird, mit Narkose oder Kurzschlaf, ob die vorläufige Diagnose ""Kammerflimmern bei Hinterwandinfarkt"" der Notärztin Anita Cornelius stimmt oder nicht, ob der Patient durchkommt und wenn ja, wie er die Sache verkraftet."	b
Seine Erzählungen wollen -V'gen , „ daß eine Kraft im Menschen liegt , vermittelst welcher er sich ans Zwiespalt und Dunkelheit emporzuringen vermag ins reine Licht des Sieges . . . Sendung der Kunst und Poesie ist es , den Menschen in seinem muthvollen Ringen das Leben in seiner schönen Entfaltung zu zeigen . . . Wessen Leben verbittert ist oder jemals getrübt war , der wird vielleicht dein Erzähler horchen , P. K. ' Rosegger . Welcher da zeigt , wie andere Menschen gestritten und schließlich gesiegt haben . ' Das ist der Grundton , welcher durch die meisten Erzählungen Roseggers klingt und ihnen einen ethischen Werth verleiht , der sie hoch über die reine Unterhaltungsleetüre erhebt , sie zu wahren Volksbüchern macht .	b
Diese Technik des Verschweigens ist in einzigartiger Folgerichtigkeit durchgeführt . Sie wirkt einen besonderen Reiz , sie fördert einen Realismus , der in der Geschichte der Weltliteratur beispiellos ist . Da der Erzähler nirgendwo mit seiner Meinung , geschweige denn mit seiner Persönlichkeit vortritt ( die Saga ist ja auch stets anonym , kein Erzähler nennt sich ) , da er uns nicht einmal mit einem malenden Wort seine Auffassung mitteilt , da er sich nie mit einem Urteil zwischen Geschichte und Leser stellt , wird dieser zu Altnordische und altdeutsche Prosa unmittelbarem Anteil geradezu genötigt , der Leser tritt mit den Geschehnissen , mit dem Helden in direkte Beziehung , in ein Einverständnis , das der Wesenheit und Realität des Erzählten unbegrenztes Vertrauen erwirbt . Dem Gefühlsüberschwang , der Sentimentalität ist die Jsländergeschichte überhaupt abhold . Wenn irgendwo eine elegische Stimmung aufkeimen will , wird sie absichtlich durch grob groteske Striche und Züge zerstört oder verdorben ; in solcher Weise oder als Charakterkomik tritt der Humor des Erzählers da und dort zutage .	b
Die Szenen , in denen über die Schutzmaßregeln beraten wird , welche man für Pfarrer Friedrich aussinnt und welche sich alle als unwirksam erweisen und den letzten trüben Ausgang , den Selbstmord des Eingekerkerten , nicht aufhalten , sind als Romanepisoden so langweilig als möglich , zu einer Art Handlung kommt es bis zum Schlüsse des Romans nicht wieder , der Versuch , die Erzählung nach Oderwiesen zurückzuversetzen , ebenso wie der , für die Liebe des Malers Heldmann ( Flambo ) zu Auguste Welcker zu interessiren , verläuft ziemlich im Sande . Die Mitteilung „ thatsächlichen' Materials , das heißt einer Anzahl Gedichte und Briefe Weidigs , die zum Roman nnr durch den Eindruck , welchen sie auf die junge Schwägerin hervorrufen , in Beziehung gesetzt sind , unterbricht immer wieder die wirkliche Darstellung . Es ist schwer zu verstehen , wie ein gewandter und geübter Erzähler , wie der Verfasser der „ Charlotte Ackermann' und des „ Stadtschultheiß von Frankfurt' ( wir nennen absichtlich zwei seiner Romane , bei denen er mit besondern Stoffschwierigkeiten kämpfte und die im großen und ganzen vortrefflich durchgeführt sind ) nicht gemerkt hat , daß er hier eine wahrhaft selbstzerstörende Manier befolgt . Er hat im ersten Teil des Romans den Märtyrer , den er verherrlichen will , viel zu sehr in den Hintergrund gerückt und uns viel zu sehr für eine kleine Gruppe andrer Persönlichkeiten interessirt , um so plötzlich , wie es vom zweiten Teil an geschieht , seine Position wechseln zu können . Die Anstrengungen , welche er gegen den Schluß hin macht , in den Ton reiner Darstellung wieder einzulenken , sind anerkennenswert , aber vergeblich .	b
Und irgendwie, wenn auch ein bisschen anders, als sie sich das in Cuneo wünschten, ist ja was aus dem allen geworden, seit der bayerische Professor Ratzinger nun als Benedikt tatsächlich Papst in Rom ist. Die Ritter vom Geiste haben einen fast behaglichen Erzählgestus, man hat das Gefühl, dass dem Erzähler wohl war beim Schreiben, beinahe so etwas wie Glück teilt sich über weite Strecken hin dem ganz offenbar geliebten Leser mit. Jetzt, im Zauberer von Rom, ist beinahe nichts mehr von epischer Breite zu spüren, das Buch hat ein fast rasendes Tempo, bis hinein in den Duktus der einzelnen Sätze.	b
