text	label
Es kommt zu szenischen Auflösungen und Dialogen. ein Piano unterteilt die Textblöcke. Im zweiten Roman1903 – Esch oder die Anarchie zeigt uns der Erzähler, gesprochen von Manfred Zapatka, den entlassenen Buchhalter und Frauenhelden Esch, der bei der Mittelrheinischen Reederei in Mannheim anfängt, deren Vorstandsvorsitzender von Bertrand ist. Esch arbeitet dann für einen Veranstalter von Damenringkämpfen.	fic
Aus dem Lehrer war ein Journalist geworden ; nun gab er bald auch den Nedaktionsposten aus , war nur noch Dichter. In unerschöpflicher Frische ließ er Werk auf Werk folgen , umfassende Romane , knappere Novellen , eindringende ästhetische Studien , Verse , Theaterstücke . Und immer ging es vorwärts mit ihm . „ Den Meister des Zeitromans' , „ Deutschlands meisterlichsten Erzähler' und ähnlich nannte ihn die Kritik der sechziger und siebziger Jahre . Und sein Name war in aller Munde , sein Werk in aller Hände . Die achtziger Jahre brachten die „ neue Literaturrichtung' in Deutschland .	non-fic
Sie hat es nicht not, etwas zu erklären; sie nennt keine Namen, keine Daten. Unwichtig ist das Vorher, das Nachher und alles Drumherum. Eine Geschichte – was ist sie denn anderes als ein wortgtwordener Augenblick... ja, fast möchte ich sagen: ein Augenblick der Liebe, wo der Erzähler seine ihm angemessene Ruhe und Würde, seine Distanz und seine Sachlichkeit opfert; wo er, urplötzlich mit einem aus dem Weltmosaik ihm ins Auge gefallenen Steinchen Leben innigst konfrontiert, jede Fassung verliert und unvermittelt, aus einem durch Wortfülle gesprengten Munde, draufloserzählt, als wäre er längst schon mitten drin im Erzählen (weil der wirkliche Erzähler immer, ohne Unterlaß, erzählt, auch wenn er selber es gar nicht merkt). Und nun erzählt er eben nicht, was seinem Gegenstande widerfährt, sondern er erzählt nichts aideres als die Konfrontation. Trotzdem möchte ich mich hüten, die Geschichte als Gedicht in Prosa zu bezeichnen, trotz der Verwandtschaft im Hinblick auf den getilgten Gegenstand und den sachlich nicht mehr ganz faßbaren Inhalt.	non-fic
»Sie wird groß, keiner stirbt und nichts geht verloren.« Man spürt ein leichtes Sträuben, den Erzähler in Kurzecks Zyklus »Erzähler« zu nennen. Denn mit einem normalen Erzählen hat das, was Kurzeck tut, nichts zu tun.	fic
Verglichen damit ist der Durchmesser einer Waschschüssel von 40 Zentimetern verschwindend klein, aber nicht null - ein realistisches Maß für Glück! Das Geheimnis dieser Prosa liegt im Entstehen einer zweiten, unmittelbar bei der Lektüre im Kopf des Lesers sich entfaltenden Gegenwart. Detaillierte, aneinander montierte Schnappschüsse aus des Helden äußerer und innerer Wirklichkeit lassen dank der strikten Ich-Perspektive des Erzählers aus dessen Sprachkosmos beim Leser den Übergang vom eng Privaten zum Gesamteindruck einer konkret sozialen Wirklichkeit vollführen. So vermag diese Erzählstruktur die störanfällige, poetische Informationsstrecke zwischen Autor und mitschaffendem Leser zu schließen. Der Kraftstrom aus Arno Schmidts dichterischer Sprache ist genau der, den ein Individuum zu seinem Überstehen auch in dieser Gegenwart benötigt Sprache und Bücher werden zur Heimat, es gibt keinen besseren Ort.	fic
Die Bühne hat durch die ungleich mächtigere Wirkung , die sie , mit dein Buche verglichen , ausübt , noch auf jeden Dichter einen dämonischen Reiz geübt ; ein Bühnenwerk beschäftigt auch die Kritik » ud Rosegger als Dramatiker das Publikum weit nachhaltiger als eine Erzählung , Darum ist es sehr begreiflich , daß sich P. K. Roseggcr an dem Ruhme , einer der gemütvollsten deuischeu Erzähler zu sein , nicht genug sein läßt und die Bühne zu gewinne » strebt . Nur daß man diesem Bestreben ungläubiger zuschauen dürfte , als ähnlichen Versuchen andrer berühmten Erzähler , Nvseggers eigentümliches Talent liegt in der tief und sein empfundenen kleinen Geschichte , im Genrebild ; seine Versuche , einen größern Rahmen auszufüllen , sind nicht gelungen , er hat immer nur viele kleine Bildchen in den Nahmen hineingestellt . Seine Kunst als Erzähler , so warm und innig sie wirkt , entbehrt doch der höchsten Objektivität . Eine große epische Gestalt so zu schaffen , daß man über ihr den Dichter vergessen hätte , wie es Fritz Reuter , Nnzengrnbcr , ja selbst Auerbach gelungen ist , ist ihm bisher noch nicht gelungen ; sein Jakob der Letzte , so tragisch er auch ist , trägt Nvseggers persönliche Züge in des Waldbauern Verkleidung . Dieser Begabung wird man daher von vornherein die Fähigkeit , dramatisch zu wirken , nicht leicht zugestehen , und darum waren wir selbst überrascht , als wir von Nvseggers erstem Volksschauspiel : Am Tage des Gerichts , das jetzt , trotz der achtungsvoll ablehnenden Kritik der Presse , mit großem Erfolg beim Publikum im deutschen Vvlksthenter in Wien gespielt wird , einen im ganzen guten Eindruck empfingen ; ja es fehlt dem Stücke , trotz seiner großen Mängel , durchaus nicht an dramatischem Stil , und das ist das merkwürdigste daran .	non-fic
Von den erzählerischen Taten dieses Nachwuchses vermitteln Konrad Franke und Wolfgang R. Langenbucher weitere Kunde. Franke hat 1971 auf über 600 Seiten „Die Literatur der DDR“ vorgestellt und diskutiert, ein Buch, das neben den Arbeiten von Werner Brettschneider, Hans Jürgen Geerdts, Fritz J. Raddatz, Hans-Dietrich Sander informiert. Die neue Anthologie „Erzähler aus der DDR“ behauptet sich in der Reihe bereits vorliegender vergleichbarer Sammlungen (zum Beispiel von Marcel Reich-Ranicki oder von Hans-Jürgen Schmitt) durch ihr Ziel: Franke/Langenbucher wollen weniger die erreichten Ergebnisse als vielmehr Tendenzen zeigen, wollen weniger Inventur machen, als vielmehr Versuche hervorheben. Der geförderte Erzählertyp der DDR ist volkstümlich, parteilich, optimistisch; Literatur ist ein gesellschaftlicher Wirkungsfaktor, der sich auf die Praxis zu beziehen hat. Rund die Hälfte der fünfunddreißig Autoren des Bandes ist jünger als vierzig; unter ihnen trabt noch manches Schwarze Pferd.	non-fic
"Hemmungslos hat er, womöglich bei der finalen Durchsicht des Manuskripts, noch den einen oder anderen aktuellen Bezug hineingequetscht. Und dauernd fällt sich sein Erzähler ins Wort mit Formulierungen wie ""Lassen Sie es mich sagen"" oder ""Jetzt sollte man Obacht geben"". Obacht!"	fic
Sogar ihre Sprache hat für die innern Processe bis zum Thun nur dürftigen Ausdruck , auch die leidenschaftlichste Bewegung wird vorzugsweise in der Wirkung genossen , welche sie auf Andere ausübt und in der Beleuchtung , welche sie der Umgebung mittheilt . Für die Gemüthsprocesse , sowie für die Rückwirkungen , welche das Geschehene auf Empfindungen und Charakter des Mannes ausübt , fehlt jede Technik der Darstellung , fehlt die Theilnahme . Sogar die Schilderung offen liegender Charaktereigenthümlichkciten , sowie ein reiches Detail des Geschehenen sind bei dem Erzähler nicht häufig , die verhältnißmäßig trockne Aufzählung der Begebenheiten wird mehr oder weniger oft durch Anekdoten unterbrochen , ausführlichere Berichte solcher erwähnten Momente , in denen eine einzelne 8* den Zeitgenossen impoiiirende Lebensäußerung des Helden hervorbricht , hier ein treffendes Wort , dort eine energische That . Vorzugsweise in solchen Anekdoten beruht die Erinnerung , welche das Volk von seinem Führer und dessen Thaten bei wahrt . Wir wissen , daß bis über die Reformation , ja bis über die Mitte des Vongen Jahrhunderts hinaus dieselbe Auffassung bei Gebildeten häufig war , daß sie noch jetzt in unserm Volke nicht geschwunden ist .	non-fic
Und so sei er auch diesem Schriftsteller und — uns , seinen Lesern , mit aller Absicht zugerufen ! Heinrich Spiero Ein neuer Erzähler er immer breiter einherflutende Strom unsrer Romanproduktion bringt dem nachdenklichen Leser und Beurteiler wieder und wieder die Frage nahe , wo die Grenzen liegen zwischen der Romandichtung und dem Unterhaltnngsromcm . Wer sich nicht mit der allerdings klaren Unterscheidung begnügt : alles , was amüsiert , ist Untcrhaltungsroman , alles Langweilige Romandichtung — der wird diesem Probleme lange nachzudenken haben . Und schwerlich wird man mit rein theoretischen Wägungen zum Ziele kommen , gewiß nicht mit technischen Untersuchungen über den äußern Bau der abzuschätzender Werke .	non-fic
„Indizien, Beweise findet man in jedem Buch zuhauf, in diesem neuen ganz besonders: Gründe für stammelnde Andacht genauso wie für gellenden Hohn.“ Henrichs lehnte das Buch ab, nach einer gründlichen Erwägung des Für und Wider; Vorbehalte formulierte auch Joachim Kaiser in der Süddeutschen Zeitung, ohne zu einem ebenso strengen Urteil zu kommen; Anerkennung und Respekt spricht aus der Rezension Peter von Matts in der Frankfurter Allgemeinen; vorbehaltloses Lob spendete Martin Lüdke in der Frankfurter Rundschau: „Unprätentiös, doch anspruchsvoll, verwickelt, aber nie verworren, ohne Zierat und Ballast, unpathetisch, mit einfachen Worten erzählt Handke eine große Geschichte.“ Tatsächlich ist das die Absicht. Ob Handke sie verwirklicht hat, schon mit diesem Buch, ist eine andere Sache. Auch „Die Wiederholung“ scheint in vielem Vorankündigung, noch nicht eingelöstes Programm zu sein, etwa wenn es von dem Ziel des Erzählers heißt: „Ich werde einen Ausdruck finden für das dunkle Innere einer weißen Kastanienblüte, das Gelb des Lehms unter dem nassen Schnee, das Überbleibsel der Blüte am Apfel und den Laut des aufspringenden Fisches im Fluß!“ Gerade im zweiten und dritten Teil des Werkes häufen sich die Absichtserklärungen; der Erzähler, und hinter ihm Peter Handke, drängt sich als Theoretiker vor, bleibt nicht Teil der einheits- und identitätsstiftenden Zusammenschau – wie sie etwa angesichts einer Landschaft gelingt: „Ein Kind bestaunt sie, ein Zwanzigjähriger beschaut sie, ein Fünfundvierzigjähriger überblickt sie, und alle drei sind sie in diesem Augenblick eins und alterslos.“ So bewegend die Kindheit im ersten Teil der „Wiederholung“ beschworen wird, so schwierig wird es, dem zwanzigjährigen Wanderer durch das jugoslawische Slowenien und dem 45 Jahre alten Erzähler bei seiner Wiederholung im Geiste zu folgen, besonders im dritten Teil des Buches. Dennoch muß man noch einmal deutlich aussprechen, daß es sich, wenn man hier überhaupt von einem Scheitern sprechen sollte, um das Scheitern eines einsamen poetischen Unterfangens handelt, einer Erzählabsicht fernab des landläufigen Büchermachens unserer Tage. Aber ist das alles denn nicht einfach Gegenwartsflucht zu nennen?	fic
— Wie gebrochen schlich er aus meinem Zimmer und' ich Horte sein lautes Schluchzen , als er durch den Vorsaal ging . Am andern Morgen aber brachte man mir die Dose mit dem Bildniß der schönen Frau , und ich habe weder sie noch den jungen Mann je wieder zu Gesicht bekommen . ... &quot; Die alten Herrn bedankten sich für das Mährchen , und meinten der Herr Hofrath sei der spaßhafteste alte Herr auf Gottes Erdboden , nur zwei der Jüngern waren gläubig , sie meinten der Arzt hätte besser gethan , wenn er mehr Mensch gewesen wäre . Ich aber ließ den Erzähler nicht aus dem Auge und als ich ihn einen Moment allein sah , bat ich bescheiden , mir die Dose zu zeigen ; es war ein schönes Frauenbild , bleich wie Alabaster , hohe Stirn und regelmäßige , feste , kalte Züge — aber Augen — tief schwarz wie eine Gewitterwolke bei Nacht , der ein versengendes Leuchten entfährt . Ed . B.	non-fic
Für ein paar Streifzüge tut sich der Erzähler mit Wischinski zusammen, der, wie seine Vorgänger im Werk von Genazino, offensichtlich eine bedächtige ästhetische Existenz in Frankfurt am Main führt. Sie schließen einen seltsamen Handel ab. Wischinski geht für den Erzähler eine neue Hose kaufen, was dieser nicht über sich bringt. Dafür bringt der Erzähler ein wenig Licht in Wischinskis Papierchaos. Ansonsten zockeln sie durch die Frankfurter Innenstadt wie Pat und Patachon.	fic
Wilhelm Hauff singt den Blues dieser Tage. So etwa müßte man sich den Kopf zurechtrücken, geht man die neuen Texte des panchromatischen, also für alle Farben empfindlichen, und in aller Bedeutung des Wortes einsamen Erzählers Jürg Laederach, sie bloß einmal blätternd, an. Blues wird „abends in der Einsamkeit der Hütten gesungen, als ein innerer Monolog“.	non-fic
"Ihr Happening bringt den erwünschten Krawalleffekt: Sie bringen, jeder, einen Salatkopf mit, dürfen damit aber erwartungsgemäß nicht rein ins Zelt, sondern geben ihn dann, absurdes Theater pur, an der Garderobe ab! Da der Erzähler aus einer ""CDU-Familie"" stammt, rebelliert er, klar, zugleich gegen den Papa. Doch sind das recht muffige Gefechte, die da in Friedberg in der Wetterau anno 1983 ausgetragen werden."	fic
