text	label
Da der Leitzacher in patriotischer Begeisterung erklärt hat , das eiserne Kreuz sei mehr wert als ein Sack voll Edelgestein , so muß sich Lenzl ein solches verdienen , um die Mirdei trotz der Sennernrmut zu „ kriegen . ' Obgleich er nun bloß ein „ Sanitäter ' ist , gelingt ihm doch eine brave That , er rettet mit jenem Wildling Liudl einem preußischen Husarenrittmeister das Leben , gerade als ihn französische Hyänen ins Feuer werfen wollen . Der Erzähler versteht es vortrefflich , dieses Motiv auszubeuten , durch Verzögerung der Handlung den Leser zu spannen . Lenzl wird nicht gleich belohnt , sondern der geheilte preußische Rittmeister muß nach dein Kriege sich gedrängt fühlen , seine bairischen Lebensretter in ihrer Heimat aufzusuchen . Da wird nun Gelegenheit geboten , zu sehen , wie „ gemütlich' doch so ein scheel angesehener Preuße sein kann , und schließlich verschafft der Rittmeister , eingeweiht in alle Herzensgeheimnisse , dem Lenzl das eiserne .	b
„Na ja“, sagt die georgische Oma, „seid ihr genug gespannt? Ist einer von euch noch nicht gespannt?“ Askenazys Einführung in ein Märchen ist wie ein unaufdringliches An-die-Hand-Nehmen. Auch in das Märchengeschehen selbst, die fortlaufende Handlung, die absolut märchenhaft, voller Zauber und Schrecken und keineswegs verwässert ist, mischt sich manchmal der Erzähler mit einer persönlichen Haltung ein, etwa gegen Ende des burgundischen Märchens von „Annette und dem Katzensohn“:„Ach, von dieser Begegnung erzähle ich so gerne, daß ich fast nicht aufhören möchte.“ Askenazys Erzählungen sind sehr moralisch, aber doch nicht streng. Sie stellen vor allem den Mut heraus, loben den persönlichen Einsatz, den Nonkonformismus, die Liebe. Ja, die Liebe wird belohnt.	b
"Der Regisseur Jossi Wieler und sein Dramaturg Koen Tachelet haben für die Salzburger Festspiele aus Angst aber ein Theaterstück gemacht, und hier gelten andere Regeln. Das Wissen des Erzählers über seine Figuren fährt in diese selbst, die Figuren erklären nun andauernd, wie sie funktionieren. Heißt es in Stefan Zweigs Novelle von der untreuen Frau, sie lebe ""träge und zufrieden gebettet in ihrer behaglichen, breit-bürgerlichen, windstillen Existenz"", so darf in der Bühnenfassung die untreue Frau genau diese Erkenntnis, welche doch der Erzähler und seine Leser über die Köpfe der Figuren hinweg miteinander teilen, selbst erlangen:"	c
Richis letztes Novellenbuch Jedenfalls ist es müssig , den Streit über die zweckdienlichere Form der Novelle bei jedem scheinbaren Anlaß zu erneuern . Die Wirkungen der frischen und sehr individuelle » Erzühluugsknnst Richts können durch ein mögliches Mißverständnis seiner Nvvellentheorie schließlich mahl in Abrede gestellt werden , und angesichts seiner neuesten fünf Novellen entsteht viel mehr die Frage , wie sie sich zik seinen vorangegangenen fünfundvierzig Geschichten , als wie sie sich zu seiner Anschauung vorn Wesen und von der Vortragsweise der besten Novelle verhalten . Und da ist es denn hocherfreulich sagen zu können , daß die gewinnendsten und tüchtigsten Eigenschaften des Erzählers Riese sich auch in diesem letzten Bande wiederfinden . Warum er ihn „ Lebensrätsel' nennt , sagt er uns am Schlüsse seiner Vorrede : „ Ein religiöses Gemüt kennt keinen Zufall ; denn der Zufall ist ihm gerade das Notwendigste , über unserm freien Willen stehend , im Willen Gottes , das kleine Rätsel im großen Weltenrätsel . Und so giebt jede rechte Novelle bei aller klarsten Lösung der psychologischen Probleme — gleichviel ob sie mit unsern Grillen und Launen spielt oder die dämonischen Tiefen der Leidenschaft enthüllt — dem .	b
Für ein paar Streifzüge tut sich der Erzähler mit Wischinski zusammen, der, wie seine Vorgänger im Werk von Genazino, offensichtlich eine bedächtige ästhetische Existenz in Frankfurt am Main führt. Sie schließen einen seltsamen Handel ab. Wischinski geht für den Erzähler eine neue Hose kaufen, was dieser nicht über sich bringt. Dafür bringt der Erzähler ein wenig Licht in Wischinskis Papierchaos. Ansonsten zockeln sie durch die Frankfurter Innenstadt wie Pat und Patachon.	d
Der Titel des Werkes ist : Longus vier Bücher des Hirtenlebens des Daphnis und der Chloe . Es ist möglich , daß diesem Romane irgend eine wahre Geschichte wenigstens in den Hauptzügen zu Grunde liegt . Der Erzähler beginnt nämlich mit einem Vorworte , wie er in Lesbos auf der Jagd in einem Nymphenhain ein berühmtes Gemälde gesehen und den Entschluß gefaßt habe , den dargestellten Gegenstand in einem Romane zu verarbeiten . Er theilt uns dann mit , daß ein Hirt auf Lesbos einst einen ausgesetzten Knaben , und ein anderer Hirt zwei Jahre später in einer Grotte ein Mädchen fand . Daphnis und Chloe , die Herden ihrer Pflegeeltern nebeneinander weidend , verbringen ihre Kinderjahre in den einfachen Freuden des Hirtenlebens .	b
Die dummen Fragen kommen von Erwachsenen: »Wo guckst du denn raus?«, »Ist es heiß da drin?«, »Scheißjob, oder?«, »Wo geht es hier zum Klo?« Aus Sicherheitsgründen ist Wumbo normalerweise mit noch drei anderen »Comics« unterwegs: Rabe Rabix, Wildschwein Rochus und Krokodil Ali Ben Gator. In den Kostümen stecken Schüler, die Wochenende haben oder Ferien. Ihr achtstündiger Arbeitstag sieht so aus: Am Vormittag begrüßt die Gruppe die Parkgäste am Eingang, am Nachmittag halten sich die vier in der Nähe der Kleinkinderattraktionen auf, und am Abend gibt es eine kleine Show, bei der eine Geschichte von einem Erzähler gesprochen wird, die die Figuren dann nachspielen. Jede Dreiviertelstunde ist für 15 Minuten Pause. Sonst hält man die Hitze und die schlechte Luft in dem Kostüm nicht aus.	a
Sein Herz lebt in dem Österreich , das durch die großen Fehler seiner Regierenden in die Niederlagen von 1859 und 1866 geführt wurde , das dann sich zu erneuern und zu verjüngen suchte mit Erfolgen , aber auch unter Enttäuschungen , die das Erbteil früherer Mißgriffe waren . Das ist der ernste Hintergrund , der oft recht deutlich hinter den feingestimmter Bildern aus dem Leben sehr verschiedner Gesellschaftskreise hervortritt , am ergreifendsten in Vag vieti8 , worin ein junger , talentvoller General zum Selbstmord getrieben wird durch die Intriguen seiner aus einer Finanz familie stammenden Frau , die mit ihrem Liebhaber , einem einflußreichen Parlamentarier der nach 1859 herrschenden liberalen Reformpartei , ausgemacht hat , daß ihr Mann keine Zukunft mehr habe . Besonders kunstvoll ist eine Erzählung in Briefen ( Marianne ) aus dem Leben kleinbürgerlicher Leute , die sich fast ganz in dem Gärtchen der Mietkaserne abspielt , wo der Erzähler ein Zimmer bewohnt . Sodann : Die Steinklopfer , eine Geschichte zweier Arbeiter an der Semmeringbahn , ganz wahr und schonungslos im Detail und zunächst so hoffnungsarm , daß man sich fragt , wozu denn das Ganze erzählt wird . Aber es hat nichts von der Widerwärtigkeit an sich , worin sich heute die Erzähler solcher Geschichten aus dem täglichen Leben des niedrigsten Volkes nicht genng thun können , und der Schluß ist versöhnlich .	d
Natürlich wird auch hier überall an Bekanntes gerührt , aber die Dinge werden in einer so bildkräftigen Sprache bei ihrem eigenen Namen gerufen , daß sie auch rein aus sich heraus Leben gewinnen . Die Erlebnisse der Menschen sind auch hier nur in Teilausschnitten gegeben , und ihre volle Bedeutung wächst ihnen aus viel weiter reichenden Zusammenhängen zu . Aber das Ziel des Erzählers ist es überall , in der vereinzelten Äußerung den ganzen Menschen , wie er bedingt ist durch seines Wesens Art und verflochten in die besonderen Beziehungen seines Daseins , zum mindesten ahnen zu lassen . Zuweilen aber geht der Reiz auch nur von der Seltsamkeit eines Vorfalls aus , und Schäfer lauscht ihm dann den munteren oder schweren , kapriziösen oder gehaltenen Rhythmus ab , der ihm innemohnt . Nicht selten fügt sich , was da unter dem Namen der Anekdote gehen soll , überhaupt nicht mehr unter den Begriff : es handelt sich dann nicht um Ereignisse , die in irgendeinem besonderen Augenblick gipfeln oder deren innere Spannung sich in einem rasch aufzuckendem Wort entlädt , sondern um die Reflexe eines Lebensmomentes — wie etwa in der letzten Geschichte der dreiunddreißig Anekdoten „ Im letzten O-Zugwagen ' — oder um seelische Entwicklungen , die freilich auch von irgendeiner seltsamen Begebenheit ihren Ausgang nehmen , aber dann eingehend um ihrer selbst willen verfolgt werden .	b
Einem bedeutenden Leben bis in das Detail nachzugehen und dasselbe in der Schrift so zu gestalten , daß uns Wesen und Gestalt deS Geschilderten mit höchster Wahrheit und Anschaulichkeit aufgehen , ist wol die schwerste Aufgabe des Geschichtschreibers . Und vielleicht ist noch weniger schwer , das Verständniß des dargestellten Lebens zu geben , als den geschilderten Helden uns grade so , lieb zu machen , wie wir ihn haben dürfen . Denn Geist , Wissen und Darstellungskunst , wieselten sie auch gut verbunden sind , finden sich bei einem Erzähler immer noch öfter zusammen , als die männliche Kraft , welche dem bewunderten Helden gegenüber Selbstständigkeit und Unbefangenheit deS eignen Urtheils M erhalten weiß , und als daS feine Zartgefühl , welches in richtiger Weise zu ehren und zu schonen weiß , auch wo es übersieht und verurtheilt . Der Biograph soll seinen Mann mit den Eigenthümlichkeiten der Natur und Zeit desselben darstellen , die Beleuchtung aber , in welcher er uns das fremdartige Bild nahe bringt , muß aus dem Licht unseres Lebens , aus dem politischen , künstlerischen , sittlichen Inhalt unsrer Zeit hergenommen sein . Je größer , edler und sicherer der Biograph seine eigne Zeit erfaßt , desto wahrer wird auch seine Darstellung eines vergangenen Lebens werden .	b
Kurz nach Mantzels Tagen versucht Matthias Claudius 1772 in seiner » Disputation . . . unter Vorsitz des Herrn Lars' ein literarisches Platt , das ihm aber mißlungen ist , weil er die Aufgabe gar zu leicht nahm . Um so glücklicher verwertet Johann Gottwerth Müller von Itzehoe in seinem komischen Roman „ Siegfried von Lindenberg' ( Hamburg 1779 ) das Missingsch des holsteinischen Kleinbürgers . Indem er dabei den Schauplatz seiner Handlung erweitert und sich ein erstes Mal dem Ziel nähert , ein Gesamtbild norddeutschen Lebens zu bieten , weist er dem literarischen Missingsch die Entwicklung , die es bei den drei mecklenburgischen Erzählern des neunzehnten Jahrhunderts genommen hat . Fritz Reuter läßt seinen Köster Subr das unbeholfen grobe Missingsch des mecklenburgischen Dorfschulmeisters sprechen , der sein Hochdeutsch nur unvollkommen beherrscht . Stillfried arbeitet diese Sprache viel feiner heraus , bleibt aber mit seinem alten Vater Goldmann beim Typus dieses selben Dorfschulmeisters stehen , indessen Reuter mit der eigenen Entwicklung die Prachtgestalt seines Inspektors Bräsig wachsen läßt und dessen Sprache mit reifer Kunst zu vollem Einklang mit seiner ländlichen Umgebung gestaltet .	b
Welcher? Mosebach legt eine Spur. Er habe, so sagt der Erzähler zu seiner Geliebten, die ihn ab und zu durch kritische Fragen unterbricht, immer gerne Patience gespielt. Man lege dreizehn Karten offen nebeneinander, darüber eine Reihe von verdeckten und so fort. Wer das oft spiele, könne die umgedrehten Karten meist erraten.	d
Die Bedeutung der beiden Kinder ging demnach weit über die der heiligen Madlene selbst hinaus , und darnach wurden sie auch behandelt . Es ist also ganz selbstverständlich , daß sie , so oft sie auch in Witscht verweilten , mit keinem profanen Menschen in Berührung kamen , während sie den Madlene-Gläubigen wie die Schaubrode des alten Testaments gezeigt und nur den Vertrautesten zum Handkuß vorgeführt wurden . Als deshalb der Erzähler dieser Geschichte , der damals in einem Alter von sechs bis sieben Jahren stand , von den beiden Prinzen eines Tages heimlich in den Garten gelockt worden war , um Blindekuh mit ihm zu spielen , da bedeutete das kein kleines Abenteuer , und viele haben ihn sicher bereits als den vermutlichen zukünftigen Kanzler des „ tausendjährigen Reichs' beneidet . Die andern Jungen drückten das sehr bezeichnend so aus , daß sie ihn eine Zeit lang den Hofkaplcui der heiligen zwei Prinzen oder kurz den Hofkaplan nannten . Diese seine Ansprüche sind nun leider wie der Heiligenschein des heiligen Josefs nach menschlicher Voraussicht für immer dahin .	b
Der Autor verschweigt, daß es sich dabei um ein von angelsächsischen Kriminalautoren erbautes Schloß handelt. Jeder der unheimlichen Gäste erhält vom Erzähler einen Zettel, auf dem ein Wort steht, zu dem er bzw. sie wiederum eine Geschichte erfinden soll. Fußnote 2: Nur der Erzähler und der Leser wissen, daß auf dem Zettel nicht „zehn kleine Negerlein“ steht, sondern, da ist es wieder, jenes unheimliche Wort „Kröte“ (womit der Bufo Marinus gemeint ist).	d
So jagt ein larmoyantes Klischee das andere,so rankt sich Bienek von einer Sentimentalität zur nächsten. Und das gilt nicht nur für die Motive, sondern leider auch für die poetischen oder, richtiger gesagt, pseudopoetischen Vergleiche und Bilder und Metaphern, die uns hier immer wieder geboten werden: „Ich war eingemauert in Zeit“; „Die Luft schließt mich ein wie in einem durchsichtigen Sarg“; „einmal, als ich von der Pritsche herabsteigen wollte, um zum Kübel zu humpeln, versank ich in ein flackerndes Dunkel“. Auch die Furunkel und Geschwüre des Häftlings werden ohne Pardon poetisiert:„Dann brach eine ganze Milchstraße von Furunkelsternen auf meinem linken Bein aus.“ Auf Seite 42 sagt der Erzähler, er sei „allein in der weißen, schäumenden Finsternis“. Muß das sein? fragte ich mich, noch einigermaßen geduldig.	d
— Wir sind aber auch genöthigt , wenngleich mit großer Vorsicht , einem solchen Schriftsteller des Alterthums auch das zu glauben , was er von der Geschichte nicht nur seines Volkes , sondern fremder Völker erzählt . In unseren Zeiten , wo Europa's Hauptvölker ziemlich alle auf gleicher Stufe der Bildung stehen , wo unzählige Berührungen und das innerste Leben alle Staaten mit einander verbinden , wo die noch so verschiedenen Sprachen kein Hinderniß der Mittheilung sind , ist es leichter , auch eines fremden Staates Geschichte zu schreiben , ja , dies geschieht von dem Fremden oft unparteiischer als von des eignen Staates Bürger . Anders aber war es im Alterthum ; die Staaten standen fast nie in derartiger Verbindung , wie wir sie jetzt kennen , ihre Berührung war meistens nur feindselig und auch , wo sie freund schaftlich war , sehr eingeschränkt ; der berichtende Geschichtschreiber , der ( so zu sagen ) noch keine allgemeine Menschenerziehung , sondern nur eine vol Mhümliche gehabt hatte , sah den fremden Staat nur durch das Glas seiner Volksthümlichkeit , also mit vorgefaßter Meinung , an , die Sprache war ein großes Hinderniß der gegenseitigen Mittheilung , und suchte er Belehrung' über des fremden Volkes Geschichte bei Fremden , so wurde er theils durch diese Unkunde der Sprache getäuscht , theils auch von dem fremden Erzähler selbst , an den er sich gewandt , absichtlich falsch berichtet , der es oft für eine von der Vaterlandsliebe gebotene Pflicht ansah , dem neugierigen Fremden des eignen Landes Macht und Herrlichkeit zu verschönern , großartiger darzustellen , oder gar des Fremdlings Sagen auch sich anzueignen . — Man denke nur an Herodots egyptische Priester und deren Nachrichten von Proteus , Paris und Helena . So haben wir über die Geschichte fremder Völker fast nur Nachrichten von Griechen und Römern , wie sehr man aber den blinden Glauben daran zügeln und einschränken muß , zeigt nicht nur die schon früher erwähnte Vergleichung der hebräischen Schriftsteller mit den Nachrichten , die wir bei den Geschichtschreibern beider genannten Völker finden , sondern es zeigt dasselbe auch die Verschiedenheit , die bei griechischen Geschichtschreibern in ihren Erzählungen von assyrischer , medischer , persischer , egyptischer Geschichte sich findet .	a
Aber auch von der Verskunst hat damals die Rhetorik in Gallien-Frankreich für immer Besitz ergriffen . Gelegentliche Ausnahmen wirken als bloßes Zwischenspiel . Zwar nicht die vorgeschriebenen Kunstmittel , die^ Tropen und Figuren , wohl aber eine stark rhetorische Grundstimmung erfüllt sogar das Rolandslied : das gilt vom Erzähler und mehr noch von den handelnden Personen . Ein Abälard ist nach dem Urteil eines Kenners mehr Rhetor als Philosoph ; und gar Corneille und Bossuet , Victor Hugo und Chateaubriand sind es in solchem Maße , daß dem deutschen Hörer und Leser alles andere daneben verkümmert scheint . Da die Überredung sich erst mit der Widerlegung des Gegners vollendet , gehörte gleich einem Zwillingsgeschwister zur Rhetorik die Eriftik oder Dialektik .	c
Bezeichnenderweise haben die Menschen in diesem exakt funktionierenden Gesellschaftssystem das Träumen verlernt. Als der Erzähler, der Erbauer des Raketenflugzeuges, sich dennoch dabei ertappt, empfindet er das nicht nur als einen Rückfall in überwundene Zeiten. Er fühlt sich überdies krank.	d
— Wie gebrochen schlich er aus meinem Zimmer und' ich Horte sein lautes Schluchzen , als er durch den Vorsaal ging . Am andern Morgen aber brachte man mir die Dose mit dem Bildniß der schönen Frau , und ich habe weder sie noch den jungen Mann je wieder zu Gesicht bekommen . ... &quot; Die alten Herrn bedankten sich für das Mährchen , und meinten der Herr Hofrath sei der spaßhafteste alte Herr auf Gottes Erdboden , nur zwei der Jüngern waren gläubig , sie meinten der Arzt hätte besser gethan , wenn er mehr Mensch gewesen wäre . Ich aber ließ den Erzähler nicht aus dem Auge und als ich ihn einen Moment allein sah , bat ich bescheiden , mir die Dose zu zeigen ; es war ein schönes Frauenbild , bleich wie Alabaster , hohe Stirn und regelmäßige , feste , kalte Züge — aber Augen — tief schwarz wie eine Gewitterwolke bei Nacht , der ein versengendes Leuchten entfährt . Ed . B.	a
Den eigenartigsten , reichsten Schatz innerer Erfahrung aber thut der Dichter immer da auf , wo Kindheitserinnerungen zur Sprache kommen . Neben der psychologischen Tiefe zeichnet der hohe künstlerische Ernst das Werk aus . Auch wo er das Gräßliche schildert , schildert Mörike niemals gräßlich , und überall wahrt er die Ueberlegenheit des Erzählers über die Personen seiner Dichtung . Hob den Roman schon in seiner ersten Gestalt poetischer Reichthum und liebevolle Vertiefung in den Gegenstand hoch über die Sphäre der gewöhnlichen Romanliteratur empor , so hat er in der Umarbeitung durch den gereiften Kunstsinn des Verfassers an maßvoller Haltung und Adel der Sprache gewonnen . Unter den Charakteren ist in der Bearbeitung am tiefsten umgestaltet und am meisten gehoben — mehr fast , als der Oekonomie des Ganzen entspricht — die Gräfin .	b
